GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Synthesizer,fr.istic.groupimpl.synthesizer.mixer,ViewMixer.new ChangeListener() {...},43,0,4,0,11,0,5,0,3,0
Synthesizer,fr.istic.groupimpl.synthesizer.mixer,ControllerMixer,60,0,0,0,16,0,6,0,6,0
Synthesizer,fr.istic.groupimpl.synthesizer.mixer,ModelMixer,128,0,8,0,35,0,16,0,12,0
Synthesizer,fr.istic.groupimpl.synthesizer.mixer,ViewMixer4Ports,12,0,0,0,5,0,3,0,3,0
Synthesizer,fr.istic.groupimpl.synthesizer.mixer,ViewMixerInput,46,0,0,0,14,0,6,0,6,0
Synthesizer,fr.istic.groupimpl.synthesizer.mixer,ViewMixer,228,0,2,0,41,0,13,0,12,0
Synthesizer,fr.istic.groupimpl.synthesizer.rep,ControllerRep,33,0,0,0,9,0,3,0,3,0
Synthesizer,fr.istic.groupimpl.synthesizer.rep,ModelRep,48,0,6,0,13,0,8,0,5,0
Synthesizer,fr.istic.groupimpl.synthesizer.rep,ViewRep,56,0,0,0,14,0,6,0,6,0
Synthesizer,fr.istic.groupimpl.synthesizer.player,ModelPlayer,4,75,0,0,1,22,1,8,1,8
Synthesizer,fr.istic.groupimpl.synthesizer.player,ControllerPlayer,74,0,2,0,20,0,7,0,6,0
Synthesizer,fr.istic.groupimpl.synthesizer.player,ViewPlayer,78,0,2,0,22,0,10,0,9,0
Synthesizer,fr.istic.groupimpl.synthesizer.seq,ControllerSeq,52,0,0,0,13,0,5,0,5,0
Synthesizer,fr.istic.groupimpl.synthesizer.seq,ViewSeq,190,0,2,0,48,0,7,0,6,0
Synthesizer,fr.istic.groupimpl.synthesizer.seq,ModelSeq,43,0,0,0,13,0,7,0,7,0
Synthesizer,fr.istic.groupimpl.synthesizer.seq.jsyn,JsynSequencerCircuit,131,0,8,0,30,0,11,0,7,0
Synthesizer,fr.istic.groupimpl.synthesizer.seq.jsyn,JsynSequencerCircuit.State,50,0,0,0,6,0,4,0,4,0
Synthesizer,fr.istic.groupimpl.synthesizer.vco,ModelVco,94,29,10,0,22,8,13,3,7,3
Synthesizer,fr.istic.groupimpl.synthesizer.vco,ControllerVco,66,0,0,0,19,0,7,0,7,0
Synthesizer,fr.istic.groupimpl.synthesizer.vco,ViewVco,221,0,0,0,42,0,5,0,5,0
Synthesizer,fr.istic.groupimpl.synthesizer.mixer.jsyn,Mixer,0,185,0,10,0,32,0,13,0,8
Synthesizer,fr.istic.groupimpl.synthesizer.mixer.jsyn,MixerSum,0,168,0,10,0,31,0,11,0,6
Synthesizer,fr.istic.groupimpl.synthesizer.util.jsyn,JsynFrequencyModulation,0,103,0,2,0,19,0,8,0,7
Synthesizer,fr.istic.groupimpl.synthesizer.util.jsyn,JsynAttenuationFilter,0,94,1,5,0,24,1,10,0,8
Synthesizer,fr.istic.groupimpl.synthesizer,App,47,0,0,0,14,0,3,0,3,0
Synthesizer,fr.istic.groupimpl.synthesizer.vcf,ControllerVcf,42,0,0,0,12,0,5,0,5,0
Synthesizer,fr.istic.groupimpl.synthesizer.vcf,ModelVcf,8,30,0,0,2,10,2,6,2,6
Synthesizer,fr.istic.groupimpl.synthesizer.vcf,ModelVcf.Type,5,45,0,0,0,6,1,3,1,3
Synthesizer,fr.istic.groupimpl.synthesizer.vcf,ViewVcfHP,57,0,0,0,18,0,4,0,4,0
Synthesizer,fr.istic.groupimpl.synthesizer.vcf,ViewVcf,120,0,0,0,19,0,3,0,3,0
Synthesizer,fr.istic.groupimpl.synthesizer.vcf,ViewVcfLP,57,0,0,0,18,0,4,0,4,0
Synthesizer,fr.istic.groupimpl.synthesizer.vco.jsyn,SelectFrom3Input,0,123,0,6,0,27,0,11,0,7
Synthesizer,fr.istic.groupimpl.synthesizer.vco.jsyn,VCOCircuit,0,247,0,0,0,40,0,12,0,12
Synthesizer,fr.istic.groupimpl.synthesizer.echo.jsyn,JsynEchoCircuit,163,0,4,0,31,0,8,0,6,0
